id;first_name;last_name;address;city;telephone
1;Gaetano;Spencer;systemic Washington;Aidaberg;"3087078377"
2;Ransom;McGlynn;e-commerce Radial upward-trending;Eltonchester;"5552864008"
3;Magdalen;Brekke;Product Sleek;North Abrahamville;"1439245587"
4;Donald;Muller;compressing cyan;Rutherfordport;"6200995988"
5;Trent;Dooley;brand leading edge wireless;Medhursttown;"6476151328"
6;Dolly;Harber;synthesizing Chief;South Giovanny;"1749946983"
7;Isai;Feeney;Incredible Wooden Soap;Lake Brookeport;"6613608960"
8;Darrick;Reichel;deposit Liberia Executive;South Freddy;"1171820410"
9;Elise;Schinner;Missouri Principal Yuan Renminbi;Hassantown;"5855338391"
10;Emery;Reilly;Bermuda Belarussian Ruble Savings Account;West Judah;"1567496648"
